      0.00000000	      2.04999991	      -0.15932258	     117.45634305	      -9.12851129
     10.00000000	      2.04916270	      -0.15932956	     117.40837401	      -9.12891121
     10.00000000	      2.04916270	      -0.15932956	     117.40837401	      -9.12891121
     20.00000000	      2.04832580	      -0.15933650	     117.36042354	      -9.12930917
     20.00000000	      2.04832580	      -0.15933650	     117.36042354	      -9.12930917
     30.00000000	      2.04748923	      -0.15934342	     117.31249162	      -9.12970519
     30.00000000	      2.04748923	      -0.15934342	     117.31249162	      -9.12970519
     40.00000000	      2.04665299	      -0.15935029	     117.26457823	      -9.13009928
     40.00000000	      2.04665299	      -0.15935029	     117.26457823	      -9.13009928
     50.00000000	      2.04581706	      -0.15935714	     117.21668336	      -9.13049144
     50.00000000	      2.04581706	      -0.15935714	     117.21668336	      -9.13049144
     60.00000000	      2.04498146	      -0.15936395	     117.16880697	      -9.13088167
     60.00000000	      2.04498146	      -0.15936395	     117.16880697	      -9.13088167
     70.00000000	      2.04414618	      -0.15937073	     117.12094906	      -9.13126999
     70.00000000	      2.04414618	      -0.15937073	     117.12094906	      -9.13126999
     80.00000000	      2.04331123	      -0.15937747	     117.07310960	      -9.13165640
     80.00000000	      2.04331123	      -0.15937747	     117.07310960	      -9.13165640
     90.00000000	      2.04247659	      -0.15938418	     117.02528857	      -9.13204090
     90.00000000	      2.04247659	      -0.15938418	     117.02528857	      -9.13204090
    100.00000000	      2.04164228	      -0.15939086	     116.97748596	      -9.13242350
    100.00000000	      2.04164228	      -0.15939086	     116.97748596	      -9.13242350
    110.00000000	      2.04080829	      -0.15939750	     116.92970175	      -9.13280421
    110.00000000	      2.04080829	      -0.15939750	     116.92970175	      -9.13280421
    120.00000000	      2.03997462	      -0.15940412	     116.88193591	      -9.13318304
    120.00000000	      2.03997462	      -0.15940412	     116.88193591	      -9.13318304
    130.00000000	      2.03914127	      -0.15941069	     116.83418843	      -9.13355999
    130.00000000	      2.03914127	      -0.15941069	     116.83418843	      -9.13355999
    140.00000000	      2.03830824	      -0.15941724	     116.78645929	      -9.13393506
    140.00000000	      2.03830824	      -0.15941724	     116.78645929	      -9.13393506
    150.00000000	      2.03747553	      -0.15942375	     116.73874847	      -9.13430827
    150.00000000	      2.03747553	      -0.15942375	     116.73874847	      -9.13430827
    160.00000000	      2.03664313	      -0.15943024	     116.69105594	      -9.13467962
    160.00000000	      2.03664313	      -0.15943024	     116.69105594	      -9.13467962
    170.00000000	      2.03581106	      -0.15943668	     116.64338169	      -9.13504912
    170.00000000	      2.03581106	      -0.15943668	     116.64338169	      -9.13504912
    180.00000000	      2.03497931	      -0.15944310	     116.59572571	      -9.13541676
    180.00000000	      2.03497931	      -0.15944310	     116.59572571	      -9.13541676
    190.00000000	      2.03414787	      -0.15944949	     116.54808796	      -9.13578257
    190.00000000	      2.03414787	      -0.15944949	     116.54808796	      -9.13578257
    200.00000000	      2.03331675	      -0.15945584	     116.50046843	      -9.13614654
    200.00000000	      2.03331675	      -0.15945584	     116.50046843	      -9.13614654
    210.00000000	      2.03248595	      -0.15946216	     116.45286710	      -9.13650868
    210.00000000	      2.03248595	      -0.15946216	     116.45286710	      -9.13650868
    220.00000000	      2.03165547	      -0.15946845	     116.40528395	      -9.13686900
    220.00000000	      2.03165547	      -0.15946845	     116.40528395	      -9.13686900
    230.00000000	      2.03082531	      -0.15947470	     116.35771896	      -9.13722750
    230.00000000	      2.03082531	      -0.15947470	     116.35771896	      -9.13722750
    240.00000000	      2.02999546	      -0.15948093	     116.31017211	      -9.13758419
    240.00000000	      2.02999546	      -0.15948093	     116.31017211	      -9.13758419
    250.00000000	      2.02916592	      -0.15948712	     116.26264338	      -9.13793908
    250.00000000	      2.02916592	      -0.15948712	     116.26264338	      -9.13793908
    260.00000000	      2.02833671	      -0.15949329	     116.21513274	      -9.13829217
    260.00000000	      2.02833671	      -0.15949329	     116.21513274	      -9.13829217
    270.00000000	      2.02750781	      -0.15949942	     116.16764019	      -9.13864346
    270.00000000	      2.02750781	      -0.15949942	     116.16764019	      -9.13864346
    280.00000000	      2.02667922	      -0.15950552	     116.12016569	      -9.13899297
    280.00000000	      2.02667922	      -0.15950552	     116.12016569	      -9.13899297
    290.00000000	      2.02585095	      -0.15951159	     116.07270923	      -9.13934071
    290.00000000	      2.02585095	      -0.15951159	     116.07270923	      -9.13934071
    300.00000000	      2.02502299	      -0.15951762	     116.02527078	      -9.13968666
    300.00000000	      2.02502299	      -0.15951762	     116.02527078	      -9.13968666
    310.00000000	      2.02419535	      -0.15952363	     115.97785034	      -9.14003085
    310.00000000	      2.02419535	      -0.15952363	     115.97785034	      -9.14003085
    320.00000000	      2.02336802	      -0.15952961	     115.93044786	      -9.14037328
    320.00000000	      2.02336802	      -0.15952961	     115.93044786	      -9.14037328
    330.00000000	      2.02254100	      -0.15953555	     115.88306335	      -9.14071395
    330.00000000	      2.02254100	      -0.15953555	     115.88306335	      -9.14071395
    340.00000000	      2.02171430	      -0.15954147	     115.83569676	      -9.14105288
    340.00000000	      2.02171430	      -0.15954147	     115.83569676	      -9.14105288
    350.00000000	      2.02088791	      -0.15954735	     115.78834809	      -9.14139006
    350.00000000	      2.02088791	      -0.15954735	     115.78834809	      -9.14139006
    360.00000000	      2.02006183	      -0.15955321	     115.74101731	      -9.14172550
    360.00000000	      2.02006183	      -0.15955321	     115.74101731	      -9.14172550
    370.00000000	      2.01923607	      -0.15955903	     115.69370441	      -9.14205921
    370.00000000	      2.01923607	      -0.15955903	     115.69370441	      -9.14205921
