      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	
     10.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.01784202	      0.03433805	     -0.00621797	
     10.00000000	     -0.17842016	      0.34338050	     -0.06217968	     -0.01776330	      0.03437889	     -0.00621824	
     20.00000000	     -0.35526598	      0.68757775	     -0.12436477	     -0.03552654	      0.06875755	     -0.01243647	
     20.00000000	     -0.35579056	      0.68730474	     -0.12436295	     -0.03552656	      0.06875761	     -0.01243647	
     30.00000000	     -0.71105612	      1.37488086	     -0.24872767	     -0.05321107	      0.10317708	     -0.01865497	
     30.00000000	     -0.88790130	      1.71907552	     -0.31091268	     -0.05313229	      0.10321763	     -0.01865523	
     40.00000000	     -1.41843641	      2.75165728	     -0.49746763	     -0.07073797	      0.13767741	     -0.02487399	
     40.00000000	     -1.41896142	      2.75138619	     -0.49746587	     -0.07073799	      0.13767748	     -0.02487399	
     50.00000000	     -2.12634130	      4.12816099	     -0.74620577	     -0.08826488	      0.17217778	     -0.03109301	
     50.00000000	     -2.30161022	      4.47316403	     -0.80839592	     -0.08818603	      0.17221804	     -0.03109326	
     60.00000000	     -3.18268211	      6.19574708	     -1.11933101	     -0.10563402	      0.20675838	     -0.03731252	
     60.00000000	     -3.18320754	      6.19547791	     -1.11932931	     -0.10563404	      0.20675845	     -0.03731252	
     70.00000000	     -4.23954794	      8.26306238	     -1.49245450	     -0.12300318	      0.24133901	     -0.04353203	
     70.00000000	     -4.41323932	      8.60886804	     -1.55464960	     -0.12292427	      0.24137898	     -0.04353227	
     80.00000000	     -5.64169291	     11.02305761	     -1.98997474	     -0.14021444	      0.27599929	     -0.04975202	
     80.00000000	     -5.64221877	     11.02279036	     -1.98997310	     -0.14021446	      0.27599936	     -0.04975202	
     90.00000000	     -7.04436333	     13.78278396	     -2.48749329	     -0.15742571	      0.31065961	     -0.05597201	
     90.00000000	     -7.21647590	     14.12938647	     -2.54969317	     -0.15734674	      0.31069929	     -0.05597224	
    100.00000000	     -8.78915360	     17.23677623	     -3.10941790	     -0.17447897	      0.34539900	     -0.06219245	
    100.00000000	     -8.78967987	     17.23651091	     -3.10941632	     -0.17447899	      0.34539906	     -0.06219246	
    110.00000000	    -10.53446973	     20.69050155	     -3.73134088	     -0.19153224	      0.38013842	     -0.06841290	
    110.00000000	    -10.70500224	     21.03789512	     -3.79354535	     -0.19145320	      0.38017782	     -0.06841313	
    120.00000000	    -12.61874391	     24.84006722	     -4.47767885	     -0.20842736	      0.41495634	     -0.07463379	
    120.00000000	    -12.61927061	     24.83980382	     -4.47767734	     -0.20842738	      0.41495640	     -0.07463379	
    130.00000000	    -14.70354438	     28.98936786	     -5.22401526	     -0.22532250	      0.44977429	     -0.08085468	
    130.00000000	    -14.87249558	     29.33754672	     -5.28622413	     -0.22524340	      0.44981339	     -0.08085489	
    140.00000000	    -17.12413860	     33.83607172	     -6.09477522	     -0.24205936	      0.48467016	     -0.08707599	
    140.00000000	    -17.12466571	     33.83581025	     -6.09477377	     -0.24205938	      0.48467022	     -0.08707599	
    150.00000000	    -19.54525952	     38.68251248	     -6.96553368	     -0.25879625	      0.51956606	     -0.09329730	
    150.00000000	    -19.71262816	     39.03147085	     -7.02774677	     -0.25871709	      0.51960488	     -0.09329751	
    160.00000000	    -22.29900743	     44.22790778	     -7.96072390	     -0.27537473	      0.55453930	     -0.09951902	
    160.00000000	    -22.29953496	     44.22764824	     -7.96072250	     -0.27537475	      0.55453937	     -0.09951902	
    170.00000000	    -25.05328247	     49.77304191	     -8.95591267	     -0.29195324	      0.58951258	     -0.10574073	
    170.00000000	    -25.21906732	     50.12277401	     -9.01812981	     -0.29187402	      0.58955110	     -0.10574093	
    180.00000000	    -28.13701526	     56.01867033	    -10.07554105	     -0.30837322	      0.62456261	     -0.11196283	
    180.00000000	    -28.13754320	     56.01841271	    -10.07553972	     -0.30837324	      0.62456268	     -0.11196283	
    190.00000000	    -31.22127560	     62.26403949	    -11.19516805	     -0.32479322	      0.65961268	     -0.11818493	
    190.00000000	    -31.38547544	     62.61453954	    -11.25738904	     -0.32471394	      0.65965092	     -0.11818512	
    200.00000000	    -34.63182204	     69.21143113	    -12.43924212	     -0.34105458	      0.69473893	     -0.12440740	
    200.00000000	    -34.63235039	     69.21117544	    -12.43924085	     -0.34105460	      0.69473900	     -0.12440740	
    210.00000000	    -38.04289643	     76.15856544	    -13.68331488	     -0.35731596	      0.72986522	     -0.13062987	
    210.00000000	    -38.20551004	     76.50982766	    -13.74553955	     -0.35723662	      0.72990317	     -0.13063005	
    220.00000000	    -41.77708284	     83.80923885	    -15.05184182	     -0.37341858	      0.76506711	     -0.13685269	
    220.00000000	    -41.77761159	     83.80898509	    -15.05184061	     -0.37341860	      0.76506718	     -0.13685269	
    230.00000000	    -45.51179761	     91.45965685	    -16.42036751	     -0.38952122	      0.80026904	     -0.14307551	
    230.00000000	    -45.67282378	     91.81167544	    -16.48259568	     -0.38944182	      0.80030670	     -0.14307568	
    240.00000000	    -49.56644792	     99.81511899	    -17.91335415	     -0.40546497	      0.83554598	     -0.14929866	
    240.00000000	    -49.56697708	     99.81486715	    -17.91335300	     -0.40546499	      0.83554605	     -0.14929866	
    250.00000000	    -53.62162699	    108.17032765	    -19.40633959	     -0.42140875	      0.87082297	     -0.15552181	
    250.00000000	    -53.78106453	    108.52309683	    -19.46857107	     -0.42132928	      0.87086034	     -0.15552197	
