      1.00000000	  -16398.50116229	  -60295.79753339	    7199.99951504	       1.49767561	       4.20493332	      -0.00096992
      2.00000000	  -16397.00464838	  -60291.59013318	    7199.99806016	       1.49535240	       4.20986720	      -0.00193985
      3.00000000	  -16395.51045710	  -60287.37779880	    7199.99563535	       1.49303036	       4.21480164	      -0.00290978
      4.00000000	  -16394.01858728	  -60283.16052971	    7199.99224060	       1.49070949	       4.21973664	      -0.00387971
      5.00000000	  -16392.52903773	  -60278.93832534	    7199.98787593	       1.48838979	       4.22467220	      -0.00484965
      6.00000000	  -16391.04180730	  -60274.71118512	    7199.98254131	       1.48607127	       4.22960833	      -0.00581959
      7.00000000	  -16389.55689480	  -60270.47910850	    7199.97623675	       1.48375392	       4.23454501	      -0.00678953
      8.00000000	  -16388.07429906	  -60266.24209491	    7199.96896224	       1.48143775	       4.23948225	      -0.00775948
      9.00000000	  -16386.59401891	  -60262.00014380	    7199.96071779	       1.47912275	       4.24442006	      -0.00872944
     10.00000000	  -16385.11605317	  -60257.75325461	    7199.95150337	       1.47680892	       4.24935842	      -0.00969939
     11.00000000	  -16383.64040068	  -60253.50142678	    7199.94131900	       1.47449626	       4.25429734	      -0.01066935
     12.00000000	  -16382.16706026	  -60249.24465974	    7199.93016466	       1.47218478	       4.25923682	      -0.01163932
     13.00000000	  -16380.69603073	  -60244.98295294	    7199.91804036	       1.46987447	       4.26417687	      -0.01260929
     14.00000000	  -16379.22731092	  -60240.71630582	    7199.90494608	       1.46756534	       4.26911747	      -0.01357926
     15.00000000	  -16377.76089966	  -60236.44471782	    7199.89088183	       1.46525738	       4.27405862	      -0.01454924
     16.00000000	  -16376.29679578	  -60232.16818839	    7199.87584760	       1.46295059	       4.27900034	      -0.01551922
     17.00000000	  -16374.83499810	  -60227.88671696	    7199.85984339	       1.46064497	       4.28394262	      -0.01648921
     18.00000000	  -16373.37550544	  -60223.60030297	    7199.84286919	       1.45834053	       4.28888545	      -0.01745919
     19.00000000	  -16371.91831664	  -60219.30894587	    7199.82492500	       1.45603727	       4.29382884	      -0.01842919
     20.00000000	  -16370.46343051	  -60215.01264511	    7199.80601082	       1.45373517	       4.29877279	      -0.01939918
     21.00000000	  -16369.01084590	  -60210.71140011	    7199.78612663	       1.45143425	       4.30371729	      -0.02036918
     22.00000000	  -16367.56056161	  -60206.40521033	    7199.76527245	       1.44913451	       4.30866236	      -0.02133919
     23.00000000	  -16366.11257649	  -60202.09407521	    7199.74344825	       1.44683594	       4.31360798	      -0.02230920
     24.00000000	  -16364.66688934	  -60197.77799420	    7199.72065405	       1.44453854	       4.31855415	      -0.02327921
     25.00000000	  -16363.22349901	  -60193.45696673	    7199.69688983	       1.44224232	       4.32350088	      -0.02424923
     26.00000000	  -16361.78240432	  -60189.13099224	    7199.67215560	       1.43994727	       4.32844817	      -0.02521925
     27.00000000	  -16360.34360408	  -60184.80007020	    7199.64645134	       1.43765339	       4.33339602	      -0.02618927
     28.00000000	  -16358.90709714	  -60180.46420002	    7199.61977705	       1.43536069	       4.33834442	      -0.02715930
     29.00000000	  -16357.47288230	  -60176.12338117	    7199.59213274	       1.43306917	       4.34329337	      -0.02812933
     30.00000000	  -16356.04095841	  -60171.77761309	    7199.56351839	       1.43077881	       4.34824289	      -0.02909937
     31.00000000	  -16354.61132428	  -60167.42689522	    7199.53393401	       1.42848964	       4.35319295	      -0.03006941
     32.00000000	  -16353.18397875	  -60163.07122700	    7199.50337958	       1.42620163	       4.35814358	      -0.03103945
     33.00000000	  -16351.75892063	  -60158.71060788	    7199.47185511	       1.42391480	       4.36309475	      -0.03200950
     34.00000000	  -16350.33614875	  -60154.34503731	    7199.43936058	       1.42162915	       4.36804648	      -0.03297955
     35.00000000	  -16348.91566194	  -60149.97451473	    7199.40589601	       1.41934467	       4.37299877	      -0.03394960
     36.00000000	  -16347.49745902	  -60145.59903959	    7199.37146138	       1.41706136	       4.37795161	      -0.03491966
     37.00000000	  -16346.08153882	  -60141.21861133	    7199.33605669	       1.41477923	       4.38290500	      -0.03588972
     38.00000000	  -16344.66790016	  -60136.83322940	    7199.29968193	       1.41249827	       4.38785895	      -0.03685979
     39.00000000	  -16343.25654188	  -60132.44289325	    7199.26233711	       1.41021849	       4.39281345	      -0.03782986
     40.00000000	  -16341.84746279	  -60128.04760232	    7199.22402221	       1.40793989	       4.39776850	      -0.03879993
     41.00000000	  -16340.44066172	  -60123.64735606	    7199.18473724	       1.40566245	       4.40272411	      -0.03977001
     42.00000000	  -16339.03613749	  -60119.24215392	    7199.14448219	       1.40338620	       4.40768027	      -0.04074009
     43.00000000	  -16337.63388893	  -60114.83199534	    7199.10325706	       1.40111111	       4.41263698	      -0.04171018
     44.00000000	  -16336.23391487	  -60110.41687978	    7199.06106184	       1.39883721	       4.41759424	      -0.04268027
     45.00000000	  -16334.83621413	  -60105.99680667	    7199.01789652	       1.39656447	       4.42255206	      -0.04365036
     46.00000000	  -16333.44078553	  -60101.57177547	    7198.97376112	       1.39429291	       4.42751043	      -0.04462045
     47.00000000	  -16332.04762791	  -60097.14178563	    7198.92865561	       1.39202253	       4.43246935	      -0.04559055
     48.00000000	  -16330.65674008	  -60092.70683659	    7198.88258001	       1.38975332	       4.43742882	      -0.04656066
     49.00000000	  -16329.26812087	  -60088.26692780	    7198.83553430	       1.38748529	       4.44238884	      -0.04753077
     50.00000000	  -16327.88176910	  -60083.82205871	    7198.78751848	       1.38521843	       4.44734942	      -0.04850088
