      0.00000000	 -16400.00000000	 -60300.00000000	   7200.00000000	      1.50000000	      4.20000000	      0.00000000	
     10.00000000	 -16385.00000000	 -60258.00000000	   7200.00000000	      1.47674369	      4.24932541	     -0.00970772	
     10.00000000	 -16385.23256313	 -60257.50674586	   7199.90292276	      1.47686097	      4.24938157	     -0.00970813	
     20.00000000	 -16370.46278060	 -60215.01236861	   7199.80583741	      1.45372203	      4.29876280	     -0.01941625	
     20.00000000	 -16370.46356218	 -60215.01274412	   7199.80584014	      1.45372200	      4.29876290	     -0.01941625	
     30.00000000	 -16355.92634218	 -60172.02511516	   7199.61167763	      1.43070034	      4.34820024	     -0.02912477	
     30.00000000	 -16356.15655874	 -60171.53074177	   7199.51459240	      1.43081772	      4.34825596	     -0.02912517	
     40.00000000	 -16341.84720778	 -60128.04762491	   7199.22333684	      1.40791353	      4.39774868	     -0.03883407	
     40.00000000	 -16341.84798999	 -60128.04799755	   7199.22333948	      1.40791350	      4.39774878	     -0.03883407	
     50.00000000	 -16327.76885499	 -60084.07050972	   7198.83499877	      1.38512669	      4.44729719	     -0.04854336	
     50.00000000	 -16327.99672313	 -60083.57502568	   7198.73790585	      1.38524415	      4.44735248	     -0.04854374	
     60.00000000	 -16314.14310692	 -60039.10094793	   7198.25246468	      1.36257490	      4.49695584	     -0.05825340	
     60.00000000	 -16314.14388975	 -60039.10131770	   7198.25246722	      1.36257487	      4.49695594	     -0.05825340	
     70.00000000	 -16300.51814108	 -59994.13175833	   7197.66993321	      1.34002308	      4.54661454	     -0.06796343	
     70.00000000	 -16300.74365896	 -59993.63517226	   7197.57283287	      1.34014064	      4.54666941	     -0.06796380	
     80.00000000	 -16287.34107699	 -59948.16792954	   7196.89319127	      1.31770650	      4.59638254	     -0.07767418	
     80.00000000	 -16287.34186043	 -59948.16829644	   7196.89319373	      1.31770647	      4.59638264	     -0.07767419	
     90.00000000	 -16274.16479575	 -59902.20447008	   7196.11645187	      1.29538989	      4.64615059	     -0.08738493	
     90.00000000	 -16274.38796155	 -59901.70679059	   7196.01934440	      1.29550754	      4.64620502	     -0.08738528	
    100.00000000	 -16261.43170966	 -59855.24419606	   7195.14548811	      1.27330870	      4.69602706	     -0.09709637	
    100.00000000	 -16261.43249370	 -59855.24456010	   7195.14549047	      1.27330867	      4.69602716	     -0.09709637	
    110.00000000	 -16248.69940702	 -59808.28428851	   7194.17452678	      1.25122748	      4.74590359	     -0.10680780	
    110.00000000	 -16248.92021892	 -59807.78552422	   7194.07741247	      1.25134522	      4.74595759	     -0.10680813	
    120.00000000	 -16236.40558933	 -59760.32540829	   7193.00932779	      1.22938186	      4.79588768	     -0.11651989	
    120.00000000	 -16236.40637397	 -59760.32576945	   7193.00933006	      1.22938183	      4.79588778	     -0.11651989	
    130.00000000	 -16224.11255570	 -59712.36689166	   7191.84413114	      1.20753621	      4.84587183	     -0.12623198	
    130.00000000	 -16224.33101190	 -59711.86705118	   7191.74701026	      1.20765404	      4.84592540	     -0.12623230	
    140.00000000	 -16212.25329321	 -59663.40726148	   7190.48468407	      1.18592634	      4.89596268	     -0.13594470	
    140.00000000	 -16212.25407846	 -59663.40761977	   7190.48468624	      1.18592631	      4.89596277	     -0.13594470	
    150.00000000	 -16200.39481539	 -59614.44799202	   7189.12523924	      1.16431644	      4.94605358	     -0.14565742	
    150.00000000	 -16200.61091411	 -59613.94708398	   7189.02811208	      1.16443435	      4.94610672	     -0.14565772	
    160.00000000	 -16188.96539136	 -59564.48548537	   7187.57153180	      1.14294249	      4.99625032	     -0.15537073	
